지점명,일시,평균기온(°C),일강수량(mm),평균 상대습도(%),합계 일조시간(hr),합계 일사량(MJ/m2),적산온도_7d,적산온도_14d,적산온도_30d,적산온도_60d,적산온도_90d,적산온도_120d,누적강수량_7d,누적강수량_14d,누적강수량_30d,누적강수량_60d,누적강수량_90d,누적강수량_120d,누적일조시간_7d,누적일조시간_14d,누적일조시간_30d,누적일조시간_60d,누적일조시간_90d,누적일조시간_120d,누적일사량_7d,누적일사량_14d,누적일사량_30d,누적일사량_60d,누적일사량_90d,누적일사량_120d
해남,2017-01-23,-2.8,0.0,72.6,6.0,0.0,-4.1,-7.1,42.5,42.5,42.5,42.5,1.0,1.3,5.7,5.7,5.7,5.7,36.6,79.39999999999999,125.3,125.3,125.3,125.3,0.0,0.0,0.0,0.0,0.0,0.0
해남,2017-01-24,-1.6,0.0,65.4,8.6,0.0,-3.5,-11.4,40.9,40.9,40.9,40.9,1.0,1.3,5.7,5.7,5.7,5.7,37.2,83.10000000000001,133.9,133.9,133.9,133.9,0.0,0.0,0.0,0.0,0.0,0.0
해남,2017-01-25,-1.7,0.0,63.4,9.5,0.0,-7.1,-13.4,39.2,39.2,39.2,39.2,1.0,1.3,5.7,5.7,5.7,5.7,41.2,83.9,143.4,143.4,143.4,143.4,0.0,0.0,0.0,0.0,0.0,0.0
해남,2017-01-26,-1.1,0.0,69.4,9.3,0.0,-7.899999999999999,-15.5,38.1,38.1,38.1,38.1,1.0,1.3,5.7,5.7,5.7,5.7,43.1,91.5,152.7,152.7,152.7,152.7,0.0,0.0,0.0,0.0,0.0,0.0
해남,2017-01-27,1.9,0.9,60.3,7.3,0.0,-5.6,-14.1,40.0,40.0,40.0,40.0,0.9,1.9,6.6000000000000005,6.6000000000000005,6.6000000000000005,6.6000000000000005,47.7,95.0,160.0,160.0,160.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0
해남,2017-01-28,1.7,0.0,52.8,8.6,0.0,-4.3,-10.5,41.7,41.7,41.7,41.7,0.9,1.9,6.6000000000000005,6.6000000000000005,6.6000000000000005,6.6000000000000005,54.5,97.7,168.6,168.6,168.6,168.6,0.0,0.0,0.0,0.0,0.0,0.0
해남,2017-01-29,7.9,1.0,76.0,0.2,0.0,4.300000000000001,1.0999999999999996,49.6,49.6,49.6,49.6,1.9,2.9,7.6,7.6,7.6,7.6,49.5,88.39999999999999,168.8,168.8,168.8,168.8,0.0,0.0,0.0,0.0,0.0,0.0
해남,2017-01-30,0.0,1.2,57.4,5.7,0.0,7.1000000000000005,3.0,49.6,49.6,49.6,49.6,3.1,4.1,8.8,8.8,8.8,8.8,49.2,85.8,174.5,174.5,174.5,174.5,0.0,0.0,0.0,0.0,0.0,0.0
해남,2017-01-31,-1.3,0.0,53.5,9.2,0.0,7.400000000000001,3.9,45.1,48.3,48.3,48.3,3.1,4.1,8.8,8.8,8.8,8.8,49.8,87.0,174.7,183.7,183.7,183.7,0.0,0.0,0.0,0.0,0.0,0.0
해남,2017-02-01,0.0,0.0,48.8,7.4,0.0,9.1,2.0,37.8,48.3,48.3,48.3,3.1,4.1,8.8,8.8,8.8,8.8,47.7,88.9,176.9,191.1,191.1,191.1,0.0,0.0,0.0,0.0,0.0,0.0
해남,2017-02-02,-0.4,0.0,55.0,9.8,0.0,9.8,1.9,33.4,47.9,47.9,47.9,3.1,4.1,8.8,8.8,8.8,8.8,48.2,91.3,178.1,200.9,200.9,200.9,0.0,0.0,0.0,0.0,0.0,0.0
해남,2017-02-03,1.5,0.0,66.3,5.2,0.0,9.4,3.8,31.700000000000003,49.4,49.4,49.4,2.2,3.1,8.8,8.8,8.8,8.8,46.1,93.8,176.9,206.1,206.1,206.1,0.0,0.0,0.0,0.0,0.0,0.0
해남,2017-02-04,6.0,4.6,68.0,0.5,0.0,13.7,9.4,31.6,55.4,55.4,55.4,6.8,7.699999999999999,13.4,13.4,13.4,13.4,38.0,92.5,177.4,206.6,206.6,206.6,0.0,0.0,0.0,0.0,0.0,0.0
해남,2017-02-05,5.0,0.4,81.9,0.0,0.0,10.8,15.1,30.200000000000003,60.4,60.4,60.4,6.2,8.1,13.8,13.8,13.8,13.8,37.8,87.30000000000001,171.7,206.6,206.6,206.6,0.0,0.0,0.0,0.0,0.0,0.0
해남,2017-02-06,1.6,0.0,56.9,9.2,0.0,12.4,19.5,25.0,62.0,62.0,62.0,5.0,8.1,13.8,13.8,13.8,13.8,41.3,90.5,180.7,215.8,215.8,215.8,0.0,0.0,0.0,0.0,0.0,0.0
해남,2017-02-07,1.2,0.0,53.1,8.5,0.0,14.900000000000002,22.3,18.300000000000004,63.2,63.2,63.2,5.0,8.1,9.4,13.8,13.8,13.8,40.6,90.4,183.8,224.3,224.3,224.3,0.0,0.0,0.0,0.0,0.0,0.0
해남,2017-02-08,1.3,0.4,65.4,0.0,0.0,16.200000000000003,25.3,14.9,64.5,64.5,64.5,5.4,8.5,9.8,14.2,14.2,14.2,33.2,80.89999999999999,178.4,224.3,224.3,224.3,0.0,0.0,0.0,0.0,0.0,0.0
해남,2017-02-09,-1.2,0.0,67.1,4.4,0.0,15.4,25.2,11.0,63.3,63.3,63.3,5.4,8.5,9.8,14.2,14.2,14.2,27.8,76.0,177.89999999999998,228.7,228.7,228.7,0.0,0.0,0.0,0.0,0.0,0.0
해남,2017-02-10,-3.1,2.8,78.0,3.3,0.0,10.8,20.200000000000003,7.6,60.2,60.2,60.2,8.2,10.4,12.6,17.0,17.0,17.0,25.9,72.0,172.5,232.0,232.0,232.0,0.0,0.0,0.0,0.0,0.0,0.0
해남,2017-02-11,-1.3,0.7,74.6,5.1,0.0,3.500000000000001,17.2,5.300000000000001,58.9,58.9,58.9,4.3,11.099999999999998,13.3,17.7,17.7,17.7,30.5,68.5,175.9,237.1,237.1,237.1,0.0,0.0,0.0,0.0,0.0,0.0
해남,2017-02-12,-0.2,0.0,67.3,8.1,0.0,-1.6999999999999993,9.1,4.6000000000000005,58.7,58.7,58.7,3.9,10.099999999999998,12.999999999999998,17.7,17.7,17.7,38.6,76.39999999999999,180.2,245.2,245.2,245.2,0.0,0.0,0.0,0.0,0.0,0.0
해남,2017-02-13,1.2,0.0,71.1,9.7,0.0,-2.1,10.3,7.7,59.9,59.9,59.9,3.9,8.899999999999999,12.999999999999998,17.7,17.7,17.7,39.1,80.39999999999999,184.0,254.9,254.9,254.9,0.0,0.0,0.0,0.0,0.0,0.0
해남,2017-02-14,2.8,0.0,61.6,10.1,0.0,-0.5,14.400000000000002,14.2,62.7,62.7,62.7,3.9,8.899999999999999,12.999999999999998,17.7,17.7,17.7,40.7,81.3,184.6,265.0,265.0,265.0,0.0,0.0,0.0,0.0,0.0,0.0
